delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
279.7408538,150.9410111,85.82491337,250.8008471,0.342203443,0.60183613,1.115390386,1.758708576,3.259436483,0.78161118,0
281.630201,160.8009962,91.7472256,255.9121131,0.35851068,0.628344607,1.100495782,1.752652411,3.069631797,0.785793002,0
109.8173581,116.3924083,87.1405077,231.6506474,0.376172088,0.502448016,0.474064542,1.335686598,1.260233168,1.409272288,0
95.35890897,112.1513975,92.75795706,240.7367156,0.385308726,0.465867441,0.39611286,1.209075761,1.028040203,1.607123416,0
97.36127864,119.9599762,93.83417999,242.6630409,0.386685091,0.494347948,0.401220055,1.278425157,1.037588634,1.548386149,0
99.3186263,122.139385,94.98845172,243.7878908,0.389635643,0.501006775,0.407397701,1.285834044,1.045586327,1.529754289,0
95.60074216,121.099898,94.87592999,245.1061609,0.387080968,0.494071212,0.390038104,1.27640275,1.007639579,1.568902107,0
95.59690821,123.8470566,91.75955182,240.0470268,0.382256565,0.515928309,0.398242417,1.349691167,1.041819694,1.512033283,0
93.80810976,121.4949345,94.54476193,238.5836333,0.396275137,0.509234153,0.393187531,1.28505199,0.99220843,1.54725353,0
93.97410523,120.8931679,90.37627959,234.7605788,0.384972128,0.514963664,0.400297638,1.337664799,1.039809402,1.513198607,0
122.934169,116.0247781,97.90234049,226.255933,0.43270618,0.512803251,0.543341195,1.185107297,1.255681614,1.356543781,0
121.5392415,114.3004372,91.37629862,223.5090004,0.408826036,0.511390758,0.54377784,1.2508762,1.330095915,1.335166757,0
135.1051966,126.9247173,109.1119974,215.5171302,0.506279929,0.588930992,0.626888435,1.163251708,1.238224941,1.23890102,0
153.6333756,114.2780592,102.6150714,222.059576,0.46210604,0.514627927,0.691856566,1.113657649,1.497181394,1.211873049,0
160.1049555,133.7087419,105.5507274,236.3111507,0.446659953,0.565816474,0.677517565,1.266772341,1.516853171,1.163532814,0
178.5734274,152.3618543,112.6642526,251.5110813,0.447949458,0.60578585,0.710002225,1.352353127,1.58500521,1.100442757,0
170.8321932,147.7928008,105.1744724,242.3041755,0.434059678,0.609947396,0.705031982,1.405215519,1.624274307,1.090556781,0
197.7156284,187.9171133,115.9251368,249.1464688,0.465289102,0.754243535,0.793571867,1.621021277,1.705545785,0.946682079,0
205.9638831,202.5112124,125.969109,244.5560435,0.515093012,0.828076908,0.842195025,1.607625981,1.635034849,0.907093619,0
264.1599586,247.6697568,141.2658895,255.3811,0.553157182,0.969804565,1.034375522,1.753216984,1.869948644,0.774958893,0
276.3356816,250.0048702,139.7541919,258.8745123,0.539853038,0.965737677,1.067450323,1.788889956,1.977297982,0.757358905,0
276.5801214,251.0289196,139.1260708,269.5123908,0.516214005,0.931418844,1.02622414,1.804326955,1.987981979,0.774509968,0
277.9498871,248.8366586,142.5119011,268.6921157,0.530391079,0.926103313,1.034454942,1.74607634,1.950362636,0.780589444,0
281.130804,247.9860263,143.5474723,271.2784021,0.529151865,0.914138481,1.036318416,1.727554114,1.958451789,0.783996748,0
279.9659251,248.4696527,146.5150532,275.0900345,0.532607637,0.903230294,1.017724708,1.695864331,1.910833863,0.797836303,0
272.9232765,258.4357927,151.9153948,283.4513481,0.535948747,0.911746564,0.962857571,1.701182378,1.796547853,0.819345652,0
276.2655507,255.0516425,154.5339948,288.1413946,0.536313066,0.885161408,0.958784666,1.650456541,1.787733185,0.833165941,0
267.3473865,247.5980302,147.5866565,284.7729865,0.518260732,0.869457575,0.938808803,1.677645094,1.811460418,0.839622277,0
259.5858768,247.0246752,149.7313262,280.8374569,0.533160098,0.879600171,0.924327829,1.649786197,1.733677804,0.849900938,0
269.9164894,251.4127119,150.6907152,274.9040906,0.548157413,0.914547002,0.981856941,1.668402141,1.791195224,0.816364794,0
252.8014697,248.0938055,156.619331,272.9326359,0.573838781,0.908992817,0.926241264,1.584056093,1.614114095,0.857568414,0
250.6644919,245.5259086,155.3946778,274.7651992,0.565554438,0.893584447,0.912286172,1.580014915,1.613082864,0.866925028,0
239.6250843,214.9560064,141.3352479,264.2912499,0.534770818,0.813330015,0.906670518,1.520894537,1.695437535,0.892308339,0
222.959487,199.9127289,135.2024366,256.2932975,0.52753013,0.780015439,0.869938813,1.478617796,1.649078911,0.925801506,0
130.8582439,132.6182427,105.6657238,240.6046463,0.439167429,0.551187372,0.543872473,1.255073432,1.238417144,1.314236328,0
116.8557276,129.5668573,103.2141804,237.7501292,0.434128809,0.544970713,0.491506474,1.255320314,1.132167375,1.383656898,0
116.273105,126.5050994,103.8812336,223.927111,0.463906461,0.564938738,0.519245322,1.217785879,1.119288835,1.350237948,0
115.9575937,124.9409847,102.9314392,214.6790776,0.479466562,0.581989573,0.540143898,1.21382724,1.126551757,1.31844081,0
113.78227,119.7648351,96.85255971,214.2074541,0.452143741,0.559106757,0.531177921,1.236568609,1.174798791,1.331894111,0
112.7613932,115.097578,97.25423138,207.5226442,0.468643949,0.554626597,0.543369104,1.18347116,1.159449739,1.337568031,0
